Container is store 7493 shapes:
Rectangle: x upper left = 0  y upper left= 0 x lower right = 0 y lower right = -11, Perimeter = 0.0
Rectangle: x upper left = 17  y upper left= 0 x lower right = 17 y lower right = -3, Perimeter = 0.0
Rectangle: x upper left = 13  y upper left= 0 x lower right = 13 y lower right = -7, Perimeter = 0.0
Rectangle: x upper left = 17  y upper left= 0 x lower right = 17 y lower right = -13, Perimeter = 0.0
Rectangle: x upper left = 10  y upper left= 0 x lower right = 10 y lower right = -6, Perimeter = 0.0
Rectangle: x upper left = 20  y upper left= 0 x lower right = 20 y lower right = -16, Perimeter = 0.0
Rectangle: x upper left = 13  y upper left= 0 x lower right = 13 y lower right = -11, Perimeter = 0.0
Rectangle: x upper left = 13  y upper left= 0 x lower right = 13 y lower right = -10, Perimeter = 0.0
Rectangle: x upper left = 0  y upper left= 0 x lower right = 0 y lower right = -12, Perimeter = 0.0
Rectangle: x upper left = 13  y upper left= 0 x lower right = 13 y lower right = -4, Perimeter = 0.0
Rectangle: x upper left = 18  y upper left= 0 x lower right = 18 y lower right = -1, Perimeter = 0.0
Rectangle: x upper left = 7  y upper left= 0 x lower right = 7 y lower right = 0, Perimeter = 0.0
Rectangle: x upper left = 20  y upper left= 0 x lower right = 20 y lower right = -20, Perimeter = 0.0
Rectangle: x upper left = 6  y upper left= 0 x lower right = 6 y lower right = -9, Perimeter = 0.0
Rectangle: x upper left = 3  y upper left= 0 x lower right = 3 y lower right = -9, Perimeter = 0.0
Rectangle: x upper left = 10  y upper left= 0 x lower right = 10 y lower right = -15, Perimeter = 0.0
Rectangle: x upper left = 5  y upper left= 0 x lower right = 5 y lower right = -14, Perimeter = 0.0
Rectangle: x upper left = 8  y upper left= 0 x lower right = 8 y lower right = -12, Perimeter = 0.0
Rectangle: x upper left = 12  y upper left= 0 x lower right = 12 y lower right = -4, Perimeter = 0.0
Rectangle: x upper left = 15  y upper left= 0 x lower right = 15 y lower right = -20, Perimeter = 0.0
Rectangle: x upper left = 19  y upper left= 0 x lower right = 19 y lower right = -2, Perimeter = 0.0
